               y       h count   g count     
sinh(-1.00)  -1.1752     28656     17710  
cosh(-1.00)   1.5431     17710     10946  

sinh(-0.90)  -1.0265     28656     17710  
cosh(-0.90)   1.4331     17710     10946  

sinh(-0.80)  -0.8881     28656     17710  
cosh(-0.80)   1.3374     17710     10946  

sinh(-0.70)  -0.7586     28656     17710  
cosh(-0.70)   1.2552     17710     10946  

sinh(-0.60)  -0.6367     28656     17710  
cosh(-0.60)   1.1855     17710     10946  

sinh(-0.50)  -0.5211     17710     10945  
cosh(-0.50)   1.1276     10945      6765  

sinh(-0.40)  -0.4108     17710     10945  
cosh(-0.40)   1.0811     10945      6765  

sinh(-0.30)  -0.3045     17710     10945  
cosh(-0.30)   1.0453     10945      6765  

sinh(-0.20)  -0.2013     10945      6764  
cosh(-0.20)   1.0201      6764      4181  

sinh(-0.10)  -0.1002      6764      4180  
cosh(-0.10)   1.0050      4180      2584  

sinh( 0.00)   0.0000         1         0  
cosh( 0.00)   1.0000         0         1  

sinh( 0.10)   0.1002      6764      4180  
cosh( 0.10)   1.0050      4180      2584  

sinh( 0.20)   0.2013     10945      6764  
cosh( 0.20)   1.0201      6764      4181  

sinh( 0.30)   0.3045     17710     10945  
cosh( 0.30)   1.0453     10945      6765  

sinh( 0.40)   0.4108     17710     10945  
cosh( 0.40)   1.0811     10945      6765  

sinh( 0.50)   0.5211     17710     10945  
cosh( 0.50)   1.1276     10945      6765  

sinh( 0.60)   0.6367     28656     17710  
cosh( 0.60)   1.1855     17710     10946  

sinh( 0.70)   0.7586     28656     17710  
cosh( 0.70)   1.2552     17710     10946  

sinh( 0.80)   0.8881     28656     17710  
cosh( 0.80)   1.3374     17710     10946  

sinh( 0.90)   1.0265     28656     17710  
cosh( 0.90)   1.4331     17710     10946  

sinh( 1.00)   1.1752     28656     17710  
cosh( 1.00)   1.5431     17710     10946  

            Sin Total  h:428239  g:264658
            Cos Total  h:264658  g:163581
